Schulnummer;Kurzbezeichnung;Bezirksregierung;Kreis;Gemeinde;Sozialindexstufe
115060;Overath, GG Burgholzweg;BR Kîln;Rheinisch-Bergischen Kreis;Overath;3
115071;Overath, GG Marialinden;BR Kîln;Rheinisch-Bergischen Kreis;Overath;2
115083;Overath, GG SÅlztal;BR Kîln;Rheinisch-Bergischen Kreis;Overath;3
115095;Rîsrath, GG Forsbach;BR Kîln;Rheinisch-Bergischen Kreis;Rîsrath;2
115101;Rîsrath, KG Sandweg;BR Kîln;Rheinisch-Bergischen Kreis;Rîsrath;3
115113;Rîsrath, GG Sandweg;BR Kîln;Rheinisch-Bergischen Kreis;Rîsrath;4
115125;Rîsrath, GG Hoffnungsthal;BR Kîln;Rheinisch-Bergischen Kreis;Rîsrath;2
115149;Engelskirchen, GG Bergische Str.;BR Kîln;Oberbergischen Kreis;Engelskirchen;3
115150;Engelskirchen, KG Loope;BR Kîln;Oberbergischen Kreis;Engelskirchen;3
115162;Lindlar, GG Schmitzhîhe;BR Kîln;Oberbergischen Kreis;Lindlar;1
115174;KÅrten, KG Bechen;BR Kîln;Rheinisch-Bergischen Kreis;KÅrten;2
115186;KÅrten, GG Biesfeld;BR Kîln;Rheinisch-Bergischen Kreis;KÅrten;2
115198;KÅrten, GG (Verb.) KÅrten-Olpe;BR Kîln;Rheinisch-Bergischen Kreis;KÅrten;2
115228;Alfter, GG Witterschlick;BR Kîln;Rhein-Sieg-Kreis;Alfter;3
115230;Alfter, GG Oedekoven;BR Kîln;Rhein-Sieg-Kreis;Alfter;4
115241;Alfter, KG Anna - Schule;BR Kîln;Rhein-Sieg-Kreis;Alfter;3
115253;Sankt Augustin, KG Meindorf;BR Kîln;Rhein-Sieg-Kreis;Sankt Augustin;2
115277;Sankt Augustin, GG Max & Moritz Schule;BR Kîln;Rhein-Sieg-Kreis;Sankt Augustin;4
115290;Sankt Augustin, KG Sankt Martin;BR Kîln;Rhein-Sieg-Kreis;Sankt Augustin;6
115307;Sankt Augustin, KG Buisdorf;BR Kîln;Rhein-Sieg-Kreis;Sankt Augustin;2
115319;Sankt Augustin, GG Hans-Christ.-Andersen;BR Kîln;Rhein-Sieg-Kreis;Sankt Augustin;4
115320;Sankt Augustin, EG Hangelar;BR Kîln;Rhein-Sieg-Kreis;Sankt Augustin;1
115332;Sankt Augustin, KG Hangelar;BR Kîln;Rhein-Sieg-Kreis;Sankt Augustin;2
115344;Bornheim, GG Nikolaus-Schule;BR Kîln;Rhein-Sieg-Kreis;Bornheim;3
115356;Bornheim, GG Herseler-Werth;BR Kîln;Rhein-Sieg-Kreis;Bornheim;2
115368;Bornheim, GG Markus;BR Kîln;Rhein-Sieg-Kreis;Bornheim;2
115381;Bornheim, GG Wendelinus-Schule;BR Kîln;Rhein-Sieg-Kreis;Bornheim;1
