sep=;
Schulnummer;Anzahl;
"109009";"209";
"109010";"364";
"109046";"329";
"109060";"321";
"109083";"274";
"109101";"249";
"109113";"291";
"109125";"330";
"109150";"494";
"109186";"423";
"109198";"316";
"109228";"251";
"109230";"220";
"109253";"335";
"109265";"328";
"109277";"376";
"109289";"247";
"109290";"257";
"109320";"174";
"109332";"335";
"109344";"158";
"109356";"321";
"109368";"413";
"109370";"281";
"109400";"205";
"109411";"292";
"109423";"393";
"109435";"236";
"109447";"321";
"109459";"422";
"109472";"490";
"109502";"319";
"109526";"223";
"109538";"310";
"109551";"211";
"109575";"417";
"109630";"362";
"109642";"254";
"109654";"321";
"109678";"308";
"109680";"214";
"109733";"219";
"109745";"218";
"109757";"197";
"109769";"203";
"109770";"238";
"109782";"221";
"109824";"307";
"109848";"218";
"109850";"229";
"109861";"289";
"109873";"119";
"109885";"351";
"109897";"307";
"109915";"293";
"109927";"358";
"109940";"284";
"109976";"243";
"109988";"219";
"110024";"288";
"110036";"214";
"110061";"351";
"110085";"309";
"110115";"158";
"110139";"172";
"110140";"348";
"110164";"187";
"110176";"169";
"110188";"470";
"110206";"311";
"110220";"358";
"110231";"287";
"110243";"199";
"110280";"341";
"110309";"230";
"110310";"223";
"110322";"112";
"110334";"272";
"110346";"199";
"110358";"207";
"110360";"266";
"110383";"346";
"110395";"214";
"110401";"339";
"110425";"273";
"110437";"230";
"110449";"264";
"110474";"304";
"110486";"208";
"110498";"146";
"110504";"223";
"110528";"286";
"110530";"397";
"110541";"156";
"110553";"326";
"110577";"541";
"110589";"472";
"110590";"421";
"110619";"233";
"110620";"187";
"110644";"374";
"110670";"236";
"110681";"345";
"110700";"200";
"110723";"224";
"110735";"284";
"110747";"319";
"110759";"318";
"110760";"193";
"110784";"196";
"110796";"222";
"110802";"368";
"110814";"193";
"110838";"209";
"110851";"189";
"110875";"202";
"110887";"208";
"110905";"250";
"110942";"370";
"110966";"348";
"110978";"158";
"110991";"200";
"111004";"152";
"111030";"244";
"111041";"177";
"111053";"268";
"111077";"264";
"111089";"214";
"111090";"199";
"111107";"195";
"111119";"180";
"111132";"279";
"111144";"270";
"111168";"292";
"111170";"191";
"111181";"245";
"111200";"293";
"111211";"198";
"111223";"235";
"111235";"178";
"111259";"274";
"111260";"196";
"111272";"300";
"111284";"305";
"111296";"208";
"111302";"202";
"111314";"319";
"111338";"207";
"111340";"236";
"111363";"405";
"111375";"283";
"111387";"397";
"111399";"262";
"111405";"225";
"111417";"202";
"111429";"248";
"111430";"183";
"111442";"180";
"111454";"188";
"111466";"287";
"111478";"188";
"111480";"188";
"111491";"189";
"111510";"463";
"111521";"186";
"111545";"181";
"111557";"379";
"111569";"270";
"111570";"399";
"111594";"291";
"111624";"181";
"111636";"134";
"111648";"189";
"111650";"198";
"111661";"197";
"111673";"191";
"111697";"334";
"111703";"253";
"111715";"278";
"111727";"390";
"111739";"191";
"111740";"191";
"111752";"210";
"111776";"249";
"111788";"396";
"111790";"302";
"111806";"162";
"111820";"292";
"111831";"303";
"111879";"311";
"111880";"146";
"111909";"263";
"111910";"270";
"111922";"214";
"111934";"191";
"111946";"394";
"111958";"175";
"111971";"294";
"111983";"270";
"111995";"198";
"112008";"388";
"112010";"311";
"112021";"204";
"112033";"211";
"112045";"260";
"112057";"192";
"112082";"271";
"112094";"246";
"112100";"300";
"112112";"178";
"112124";"211";
"112136";"240";
"112148";"249";
"112150";"230";
"112173";"223";
"112197";"367";
"112203";"351";
"112239";"183";
"112240";"217";
"112252";"262";
"112264";"209";
"112288";"354";
"112290";"207";
"112306";"245";
"112318";"230";
"112320";"178";
"112331";"161";
"112343";"206";
"112355";"283";
"112367";"293";
"112379";"309";
"112380";"198";
"112409";"165";
"112410";"349";
"112422";"347";
"112434";"276";
"112446";"122";
"112458";"286";
"112460";"322";
"112471";"354";
"112483";"410";
"112495";"389";
"112501";"225";
"112513";"252";
"112525";"178";
"112537";"333";
"112549";"187";
"112562";"375";
"112574";"242";
"112586";"162";
"112604";"256";
"112616";"311";
"112628";"206";
"112630";"195";
"112641";"406";
"112653";"212";
"112677";"337";
"112690";"232";
"112720";"332";
"112732";"197";
"112744";"374";
"112768";"334";
"112770";"141";
"112793";"355";
"112800";"278";
"112811";"287";
"112823";"257";
"112847";"404";
"112859";"534";
"112860";"203";
"112872";"201";
"112884";"309";
"112896";"204";
"112902";"333";
"112926";"183";
"112938";"518";
"112951";"217";
"112963";"189";
"112975";"271";
"112987";"238";
"112999";"244";
"113001";"242";
"113025";"360";
"113037";"234";
"113050";"203";
"113062";"221";
"113074";"94";
"113104";"202";
"113116";"276";
"113128";"177";
"113130";"274";
"113141";"137";
"113153";"230";
"113177";"449";
"113189";"211";
"113207";"175";
"113219";"178";
"113220";"155";
"113232";"164";
"113244";"384";
"113293";"324";
"113311";"223";
"113347";"214";
"113372";"316";
"113396";"160";
"113426";"393";
"113438";"206";
"113451";"328";
"113475";"347";
"113505";"193";
"113517";"211";
"113529";"319";
"113554";"213";
"113566";"190";
"113578";"317";
"113591";"264";
"113610";"208";
"113621";"206";
"113633";"289";
"113645";"335";
"113657";"300";
"113669";"265";
"113670";"206";
"113682";"267";
"113694";"274";
"113736";"277";
"113748";"124";
"113750";"225";
"113761";"261";
"113773";"283";
"113785";"198";
"113797";"282";
"113803";"103";
"113815";"288";
"113827";"261";
"113839";"399";
"113840";"279";
"113852";"514";
"113864";"330";
"113888";"278";
"113890";"374";
"113906";"386";
"113918";"299";
"113920";"125";
"113943";"427";
"113955";"324";
"113967";"428";
"113979";"201";
"113980";"306";
"114005";"308";
"114017";"417";
"114029";"198";
"114030";"209";
"114054";"235";
"114066";"297";
"114078";"299";
"114080";"282";
"114091";"225";
"114108";"331";
"114110";"321";
"114121";"339";
"114145";"210";
"114169";"238";
"114182";"198";
"114194";"211";
"114212";"166";
"114224";"181";
"114236";"325";
"114248";"302";
"114250";"245";
"114261";"211";
"114273";"234";
"114297";"358";
"114303";"110";
"114315";"143";
"114327";"130";
"114340";"184";
"114352";"375";
"114420";"167";
"114431";"158";
"114443";"248";
"114455";"413";
"114480";"328";
"114510";"381";
"114522";"272";
"114534";"215";
"114546";"185";
"114558";"239";
"114560";"205";
"114583";"183";
"114595";"136";
"114601";"193";
"114613";"193";
"114625";"209";
"114637";"144";
"114649";"154";
"114650";"292";
"114662";"310";
"114674";"194";
"114704";"294";
"114716";"286";
"114728";"223";
"114730";"166";
"114753";"101";
"114765";"446";
"114777";"211";
"114789";"394";
"114790";"355";
"114807";"292";
"114819";"414";
"114820";"391";
"114832";"258";
"114844";"164";
"114856";"280";
"114868";"489";
"114870";"283";
"114881";"196";
"114893";"375";
"114900";"351";
"114935";"143";
"114960";"287";
"114972";"156";
"114984";"202";
"114996";"202";
"115010";"202";
"115022";"191";
"115034";"234";
"115046";"128";
"115058";"198";
"115060";"264";
"115071";"202";
"115083";"244";
"115095";"275";
"115101";"312";
"115113";"391";
"115125";"306";
"115149";"222";
"115150";"173";
"115162";"98";
"115174";"191";
"115186";"194";
"115198";"280";
"115228";"262";
"115230";"303";
"115241";"291";
"115253";"207";
"115277";"413";
"115290";"403";
"115307";"152";
"115319";"331";
"115320";"181";
"115332";"163";
"115344";"281";
"115356";"310";
"115368";"184";
"115381";"213";
"115393";"171";
"115400";"197";
"115423";"400";
"115435";"236";
"115484";"470";
"115496";"319";
"115514";"303";
"115538";"373";
"115540";"189";
"115551";"266";
"115563";"245";
"115575";"293";
"115587";"242";
"115605";"187";
"115617";"177";
"115629";"417";
"115630";"184";
"115642";"273";
