sep=;
Traegernummer;Traegerbezeichnung_1;Traegerbezeichnung_2;Traegerbezeichnung_3;Kurzbezeichnung;PLZ;Ort;Strasse;Telefonvorwahl;Telefon;Faxvorwahl;Fax;Gemeindeschluessel;Rechtsform;
"10856";"Kreis Siegen-Wittgenstein";"";"";"Kreis Siegen-Wittgenstein";"57072";"Siegen";"Koblenzer Str. 73";"0271";"3330";"0271";"3332500";"05970040";"1";
"10868";"Kreis Soest";"";"";"Kreis Soest";"59494";"Soest";"Hoher Weg 1-3";"02921";"302460";"";"";"05974040";"1";
"10870";"Kreis Unna";"";"";"Kreis Unna";"59425";"Unna";"Parkstr. 40b";"02303";"270";"02303";"271399";"05978036";"1";
"11046";"Stadt Olfen";"";"";"Stadt Olfen";"59399";"Olfen";"Kirchstr. 5";"02595";"3890";"02595";"389292";"05558036";"1";
"11150";"Stadt Werther";"";"";"Stadt Werther (Westf.)";"33824";"Werther (Westf.)";"Mühlenstr. 2";"05203";"7050";"05203";"70588";"05754052";"1";
"11174";"Gemeinde Stemwede";"";"";"Gemeinde Stemwede";"32351";"Stemwede";"Buchhofstr. 17";"05745";"788990";"05745";"78899180";"05770044";"1";
"11204";"Gemeinde Hüllhorst";"";"";"Gemeinde Hüllhorst";"32609";"Hüllhorst";"Löhner Str. 1";"05744";"93150";"05744";"931570";"05770016";"1";
"11216";"Stadt Porta Westfalica";"";"";"Stadt Porta Westfalica";"32457";"Porta Westfalica";"Kempstr. 1";"0571";"7910";"0571";"791277";"05770032";"1";
"11344";"Gemeinde Eslohe";"";"";"Gemeinde Eslohe";"59889";"Eslohe (Sauerland)";"Schultheißstr. 2";"02973";"8000";"02973";"80010";"05958016";"1";
"11368";"Stadt Meschede";"";"";"Stadt Meschede";"59872";"Meschede";"Franz-Stahlmecke-Platz 2";"0291";"2050";"0291";"205300";"05958032";"1";
"11381";"Stadt Dinslaken";"";"";"Stadt Dinslaken";"46535";"Dinslaken";"Wilhelm-Lantermann-Str. 65";"02134";"661";"02134";"6611400";"05170008";"1";
"11400";"Stadt Voerde";"";"";"Stadt Voerde";"46562";"Voerde (Niederrhein)";"Rathausplatz 20";"02855";"800";"02855";"96900";"05170044";"1";
"11411";"Gemeinde Schermbeck";"";"";"Gemeinde Schermbeck";"46514";"Schermbeck";"Weseler Str. 1";"02853";"9100";"";"";"05170036";"1";
"11423";"Gemeinde Hünxe";"";"";"Gemeinde Hünxe";"46569";"Hünxe";"Dorstener Str. 24";"02858";"69232";"02858";"69222";"05170016";"1";
"11435";"Stadt Haan";"";"";"Stadt Haan";"42781";"Haan";"Kaiserstr. 85";"02129";"9110";"02129";"911590";"05158008";"1";
"11447";"Stadt Heiligenhaus";"";"";"Stadt Heiligenhaus";"42579";"Heiligenhaus";"Hauptstr. 157";"02056";"130";"02056";"13395";"05158012";"1";
"11459";"Stadt Hilden";"";"";"Stadt Hilden";"40721";"Hilden";"Mittelstr. 40";"02103";"720";"02103";"72601";"05158016";"1";
"11484";"Stadt Mettmann";"";"";"Stadt Mettmann";"40822";"Mettmann";"Neanderstr. 85";"02104";"9800";"02104";"980727";"05158024";"1";
