sep=;
Traegernummer;Traegerbezeichnung_1;Traegerbezeichnung_2;Traegerbezeichnung_3;Kurzbezeichnung;PLZ;Ort;Strasse;Telefonvorwahl;Telefon;Faxvorwahl;Fax;Gemeindeschluessel;Rechtsform;
"70701";"Schloß Hagerhof GmbH & Co. KG Bad Honnef";"";"";"Bad Honnef, Landschulheim GmbH & Co.KG";"53604";"Bad Honnef";"Menzenberg 13";"02224";"93250";"02224";"932525";"05382008";"2";
"70749";"Verein der Schulfreunde e.V.";"";"";"Mettingen, Verein der Schulfreunde e.V.";"49497";"Mettingen";"Große Str. 38";"05452";"917110";"05452";"917119";"05566056";"2";
"70750";"Evangelisches Johanneswerk gGmbH";"";"";"Bielefeld, Ev. Johanneswerk gGmbH";"33611";"Bielefeld";"Schildescher Str. 101-103";"0521";"8012591";"0521";"8012599";"05711000";"2";
"70762";"Mauritiusgymnasium Büren e.V.";"";"";"Büren, Mauritiusgymnasium e.V.";"33142";"Büren";"Burgstr. 2";"";"";"";"";"05774016";"2";
"70774";"Verein Rudolf Steiner Schule";"Schloss Hamborn e.V.";"";"Borchen, R.-Steiner-Schloss-Hamborn e.V.";"33178";"Borchen";"Schloß Hamborn 5";"05251";"389113";"";"";"05774012";"2";
"70798";"Rudolf-Steiner-Schule Bochum";"";"";"Bochum, Rudolf-Steiner-Schule Bochum";"44892";"Bochum";"Hauptstr. 238";"0234";"9220629";"0234";"283158";"05911000";"2";
"70828";"Rudolf Steiner Berufskolleg";"Dortmund e.V.";"";"Dortmund,Rudolf Steiner Berufskolleg e.V";"44225";"Dortmund";"Mergelteichstr. 51";"0231";"717641";"0231";"791799";"05913000";"2";
"70841";"Schulverein der Hiberniaschule e.V.";"";"";"Herne, Schulverein der Hiberniaschule";"44652";"Herne";"Holsterhauser Str. 70";"02325";"9190";"02325";"919232";"05916000";"2";
"70865";"Schulverein Kolleg";"Schloß Overhagen e.V.";"";"Lippstadt, Schulverein Schloß Overhagen";"59556";"Lippstadt";"Schloßgraben 17-19";"02941";"10566";"02941";"2714423";"05974028";"2";
"70877";"Schulen Schloß Wittgenstein gGmbH";"";"";"Bad Laasphe, Schulen Schloß Wittgenstein";"57334";"Bad Laasphe";"Schloß Wittgenstein 6";"02752";"47430";"02752";"474330";"05970028";"2";
"70907";"Evangelische Kirche";"im Rheinland ( KöR )";"- Landeskirchenamt -";"Düsseldorf, Evang. Kirche im Rheinland";"40476";"Düsseldorf";"Hans-Böckler-Str. 7";"0211";"4562530";"0211";"4562694";"05111000";"2";
"70920";"Bistum Essen";"";"";"Essen, Bistum Essen";"45127";"Essen";"Zwölfling 16";"0201";"2204342";"0201";"2204619";"05113000";"2";
"70932";"Congregatio B.M.V.";"";"";"Essen, Congregatio B.M.V.";"45147";"Essen";"Bardelebenstr. 9";"0201";"8702253";"0201";"8702222";"05113000";"2";
"70981";"Bergische Diakonie Aprath";"";"";"Wülfrath, Bergische Diakonie Aprath";"42489";"Wülfrath";"Otto-Ohl-Weg 10";"0202";"27290";"";"";"05158036";"2";
"71006";"Liebfrauenschule Mülhausen gGmbH";"";"";"Grefrath, Liebfrauensch. Mülhausen gGmbH";"47929";"Grefrath";"Hauptstr. 87";"02158";"917200";"02158";"917225";"05166008";"2";
"71018";"Collegium Augustinianum Gaesdonck";"";"";"Goch, Collegium Augustinianum Gaesdonck";"47574";"Goch";"Gaesdoncker Str. 220";"02823";"9610";"02823";"961100";"05154016";"2";
"71020";"Katholische Propsteigemeinde St. Viktor";"";"";"Xanten, Kath. Propsteigemeinde St.Viktor";"46509";"Xanten";"Kapitel 8";"02801";"71310";"";"";"05170052";"2";
"71055";"Missionsgesellschaft vom Hl.Geist GmbH";"- Provinzialat der Spiritaner -";"";"Würselen, Missionsgesellsch.v.Hl.Geist";"52146";"Würselen";"Broicher Str. 103";"02405";"7080";"02405";"70838";"05334036";"2";
"71067";"Provinzialat der Redemptoristen e.V.";"";"";"Köln, Provinzialat d.Redemptoristen e.V.";"53117";"Bonn";"Kölnstr. 413";"0228";"5558560";"0228";"5558597";"05314000";"2";
"71079";"Werke der Salvatorianer";"gemeinnützige GmbH";"";"Kall, Werke der Salvatorianer gGmbH";"53925";"Kall";"Hermann-Josef-Str. 4";"02441";"889140";"02441";"889128";"05366024";"2";
"71109";"Deutsche Provinz";"der Salesianer Don Boscos";"";"München,D.Prov.d.SalesD.Bos";"45355";"Essen";"Theodor-Hartz-Str. 15";"0201";"6850335";"0201";"6850324";"05113000";"2";
"71110";"Erzbistum Köln";"Erzbischöfliches Generalvikariat";"Hauptabteilung Schule/ Hochschule";"Köln, Erzbistum Köln";"50668";"Köln";"Marzellenstr. 32";"0221";"16423751";"0221";"16423645";"05315000";"2";
"71134";"Realschule Mater Salvatoris gGmbH";"";"";"Kerpen,Realschule Mater Salvatoris gGmbH";"50169";"Kerpen";"Höhenweg 51";"02273";"6020";"02273";"602110";"05362032";"2";
"71160";"Caritas-Jugendhilfe Gesellschaft mbH";"";"";"Köln, Caritas-Jugendhilfe GmbH";"50931";"Köln";"Klosterstr. 79";"0221";"9405100";"0221";"94051025";"05315000";"2";
"71237";"Bistum Aachen";"Bischöfliches Generalvikariat";"";"Aachen, Bischöfliches Generalvikariat";"52062";"Aachen";"Klosterplatz 7";"0241";"452562";"0241";"452472";"05334002";"2";
"71249";"Domkapitel Aachen";"";"";"Aachen, Domkapitel Aachen";"52062";"Aachen";"Ritter-Chorus-Str. 1-4";"0241";"47709115";"0241";"47709126";"05334002";"2";
"71286";"Haus Overbach gGmbH";"";"";"Jülich, Haus Overbach gGmbH";"52428";"Jülich";"Franz-von-Sales-Str. 1";"02461";"930303";"02461";"930499";"05358024";"2";
"71304";"Bistum Münster";"Bischöfliches Generalvikariat";"- Schulverwaltung -";"Münster, Bistum Münster";"48143";"Münster";"Überwasserkirchplatz 3";"0251";"495420";"0251";"4957420";"05515000";"2";
"71353";"Canisius Berufskolleg gGmbH";"";"";"Ahaus, Canisius Berufskolleg gGmbH";"48683";"Ahaus";"Hindenburgallee 30b";"02561";"95020";"02561";"950230";"05554004";"2";
"71365";"Katholische Kirchengemeinde";"St. Martinus und Ludgerus";"";"Sendenhorst, Kath. Kirchengem. St.Martin";"48324";"Sendenhorst";"Kirchstr. 12";"02526";"93110";"02526";"931124";"05570040";"2";
"71420";"Bischöfliche Stiftung";"HAUS HALL";"Einrichtungen f. Menschen m. Behinderung";"Gescher, Erzieh.-u.Pflegeanst.Haus Hall";"48712";"Gescher";"Tungerloh-Capellen 4";"02542";"7032420";"02542";"7032429";"05554016";"2";
"71468";"Evangelische Kirche von Westfalen";"";"";"Bielefeld, Evangel. Kirche v. Westfalen";"33602";"Bielefeld";"Altstädter Kirchplatz 5";"0521";"594223";"0521";"5947223";"05711000";"2";
"71493";"Schulverein des Ev. Gymnasiums";"Werther e.V.";"";"Werther (Westf.), Schulverein Werther";"33824";"Werther (Westf.)";"Grünstr. 10";"05203";"2962711";"05203";"2962728";"05754052";"2";
"71500";"Kirchenkreis Herford";"";"";"Herford, Kirchenkreis Herford";"32049";"Herford";"Hansastr. 60";"05221";"9883";"";"";"05758012";"2";
"71602";"Diakonisches Werk";"im Ev. Kirchenkreis Iserlohn e.V.";"Kirchenkreis Iserlohn gGmbH";"Iserlohn,Diako.Werk im Ev.Kirchenkr.e.V.";"58638";"Iserlohn";"Bodelschwinghstr. 1";"02371";"7720";"02371";"772220";"05962024";"2";
"71687";"Benediktinerabtei Königsmünster";"";"";"Meschede, Benediktiner Königsmünster";"59872";"Meschede";"Klosterberg 7";"0291";"99680";"0291";"996827";"05958032";"2";
"71705";"Kirchenkreis Siegen";"";"";"Siegen, Kirchenkreis Siegen";"57076";"Siegen";"Weidenauer Str. 118";"0271";"5004267";"0271";"5004298";"05970040";"2";
"71729";"St.Ursula-Stift";"";"";"Werl, St.Ursula-Stift";"59457";"Werl";"Neuerstr. 11";"02922";"5017";"";"";"05974052";"2";
"71730";"Provinzialat der Hünfelder Oblaten";"";"";"Hünfeld,Provinzialat d.Hünfelder Oblaten";"36088";"Hünfeld";"Klosterstr. 5";"";"";"";"";"05999999";"2";
"71791";"Mariannhiller Missionare";"- Deutsche Provinz -";"";"Würzburg, Mariannhiller Missionare";"48734";"Reken";"Am Kloster 9";"02864";"949310";"02864";"949333";"05554044";"2";
"71810";"Kaiserswerther Diakonie";"";"";"Düsseldorf, Kaiserswerther Diakonie";"40489";"Düsseldorf";"Alte Landstr. 179";"0211";"4093754";"";"";"05111000";"2";
"71882";"Evangelische Stiftung Hephata";"Frau Antje Liebing";"";"Mönchengladbach, Ev. Stiftung Hephata";"41065";"Mönchengladbach";"Hephataallee 4";"02161";"2462770";"02161";"2464900";"05116000";"2";
"71912";"Christian-Morgenstern-Schule";"Pädagogisch-Therapeutisches Institut";"Wuppertal e.V.";"Wuppertal, Chr.-Morgenstern-Schule";"42285";"Wuppertal";"Wittensteinstr. 76";"0202";"83088";"";"";"05124000";"2";
"71950";"KEV Betriebsführungsgesellschaft mbH";"";"";"Dormagen, KEV Betriebsführungsg. mbH";"41539";"Dormagen";"Krefelder Str. 122";"02133";"50515";"02133";"50579";"05162004";"2";
"71973";"Neukirchener Erziehungsverein";"";"";"Neukirchen-Vluyn, Erziehungsverein";"47506";"Neukirchen-Vluyn";"Andreas-Bräm-Str. 18-20";"02845";"3920";"02845";"3921333";"05170028";"2";
"72023";"Josefs-Gesellschaft e.V.";"";"";"Köln, Josefs-Gesellschaft e.V.";"50679";"Köln";"Custodisstr. 19-21";"0221";"889980";"";"";"05315000";"2";
"72060";"Stiftung Die Gute Hand";"";"";"Kürten, Stiftung Die Gute Hand";"51515";"Kürten";"Jahnstr. 31";"02207";"708140";"02207";"70865";"05378012";"2";
"72140";"Landschulheim Schloß Heessen e.V.";"Staatl. anerk. priv. Tagesgymnasium";"u. Internat, eingetr. gemein. Verein";"Hamm, Landschulheim Schl.Heessen e.V.";"59073";"Hamm";"Schlossstr. 1";"02381";"6850";"02381";"685167";"05915000";"2";
"72205";"Stiftung Eben-Ezer";"";"";"Lemgo, Stiftung Eben-Ezer";"32657";"Lemgo";"Alter Rintelner Weg 29";"05261";"215560";"05261";"215487";"05766044";"2";
"72229";"Evangelische Stiftung Ludwig-Steil-Hof";"";"";"Espelkamp, Ludwig-Steil-Hof e.V.";"32339";"Espelkamp";"Präses-Ernst-Wilm-Str. 2";"05772";"5640";"05772";"564109";"05770008";"2";
"72242";"Jugendhilfe im Erzbistum Paderborn";"gemeinnützige GmbH";"";"Warburg,Jugendhilfe Erzb.Paderborn gGmbH";"33102";"Paderborn";"Gustav-Schultze-Str. 22";"05257";"503182";"05251";"5452399";"05774032";"2";
"72278";"Sozialdienst katholischer Frauen";"Gesamtverein e.V.";"";"Dortmund, Sozialdienst kath. Frauen e.V.";"44135";"Dortmund";"Agnes-Neuhaus-Str. 5";"0231";"5570260";"0231";"55702645";"05913000";"2";
"72291";"Ev. Stiftung Loher Nocken";"";"";"Ennepetal, Ev. Stiftung Loher Nocken";"58256";"Ennepetal";"Lohernockenstr. 47";"02333";"9777712";"02333";"9777720";"05954008";"2";
"72345";"Gemeinnützige Gesellschaft";"der Franziskanerinnen zu Olpe mbH";"";"Olpe,Gem.Gesellsch.der Franziskanerinnen";"57462";"Olpe";"Maria-Theresia-Str. 42a";"02761";"92650";"02761";"926518";"05966024";"2";
"72369";"Christl. Jugenddorfwerk Deutschlands";"Gemeinnütziger Verband e.V.";"";"Ebersbach, Christl. Jugendwerk Deutschl.";"73061";"Ebersbach an der Fils";"Teckstr. 23";"07163";"9300";"07163";"930281";"05999999";"2";
"72394";"Zentralverband der Augenoptiker";"";"";"Düsseldorf, Zentralverb. Augenoptiker";"40210";"Düsseldorf";"Alexanderstr. 25a";"0211";"8632350";"0211";"86323535";"05111000";"2";
"72400";"Stiftg. Institut zur Erlangung der Hoch-";"schulreife f.Handwerker,Facharbeiter u.";"a.Berufstätige m.abgeschl.Ausbildg.e.V.";"Düsseldorf, Stiftg.Erlangg.Hochsch.Reife";"40221";"Düsseldorf";"Georg-Schulhoff-Platz 1";"0211";"8795220";"0211";"8795214";"05111000";"2";
"72412";"Fördergemeinschaft für Schulen";"in freier Trägerschaft e.V.";"";"Köln, Fördergem. freier Träger e.V.";"50933";"Köln";"Paulistr. 22";"0221";"496405";"0221";"4995197";"05315000";"2";
"72436";"Europäisches Bildungs-, Forschungs- und";"Informationszentrum der Wohnungs- und";"Immobilienwirt. -Gemeinnützige Stiftung-";"Bochum, Informationsz. Immobilienwirt.";"44795";"Bochum";"Springorumallee 20";"0234";"9447565";"0234";"9447555";"05911000";"2";
"72448";"Rheinische Akademie Köln gGmbH";"";"";"Köln, Rheinische Akademie gGmbH";"50825";"Köln";"Vogelsanger Str. 295";"0221";"546870";"0221";"5468725";"05315000";"2";
"72450";"St. Nikolaus-Stift Füssenich";"";"";"Zülpich, St. Nikolaus-Stift";"53909";"Zülpich";"Brüsseler Str. 68";"02252";"943627";"02252";"943636";"05366044";"2";
"72461";"Privatschulen Schloß Buldern GmbH";"";"";"Dülmen, Privatsch.Schloß Buldern GmbH";"48249";"Dülmen";"Dorfbauerschaft 22";"02590";"9911";"02590";"9914";"05558016";"2";
"72485";"Stiftung St.Josefshaus Wettringen";"";"";"Wettringen, Stiftung St.Josefshaus";"48493";"Wettringen";"Dorfbauerschaft 30";"";"";"";"";"05566096";"2";
"72497";"Erziehungsheim Gotteshütte";"";"";"Porta Westfalica, Erz.-Heim Gotteshütte";"32457";"Porta Westfalica";"Gotteshütte 1";"05722";"280140";"";"";"05770032";"2";
"72503";"Evangelische Stiftung Volmarstein";"- Rehabilitationszentrum -";"";"Wetter, Evang. Stiftung Volmarstein";"58300";"Wetter (Ruhr)";"Hartmannstr. 24";"02335";"6390";"02335";"6391090";"05954032";"2";
"72539";"Wittekindshof";"Diakonische Stiftung";"für Menschen mit Behinderungen";"Bad Oeynhausen,Heilanstalt Wittekindshof";"32549";"Bad Oeynhausen";"Zur Kirche 2";"05734";"611061";"05734";"611191";"05770004";"2";
"72540";"Deutsch-Brasilianische Studienstiftung";"St. Antonius";"";"Mettingen, Deut.-Brasil.Studienstift.St.";"49497";"Mettingen";"Sunderstr. 17";"05452";"2358";"05452";"4357";"05566056";"2";
"72552";"Hüberts'sche gemeinnützige GmbH";"Alfons Ahlers";"";"Hopsten, Hüberts'sche gGmbH";"48496";"Hopsten";"Am Schulplatz 3";"05458";"935078";"05458";"935080";"05566020";"2";
"72564";"v. Bodelschwinghsche Stiftungen Bethel";"- Schulverwaltung -";"für das öffentl.-Stift. Gymnasium";"Bielefeld,v.Bodelschw. Stift.(Stift.Gym)";"33617";"Bielefeld";"Sareptaweg 4";"0521";"1443526";"0521";"1444397";"05711000";"1";
"72576";"v. Bodelschwinghsche Stiftungen Bethel";"- Schulverwaltung -";"";"Bielefeld,v.Bodelschwinghsche Stiftungen";"33617";"Bielefeld";"Nazarethweg 5";"0521";"1443526";"0521";"1444397";"05711000";"2";
"72667";"Bundesministerium der Verteidigung";"";"";"Berlin,Bundesministerium d. Verteidigung";"10117";"Berlin";"Reinhardtstr. 52";"";"";"";"";"05999999";"2";
"72692";"Christopherus-Haus";"für seelenpflegebedürftige Kinder e.V.";"";"Dortmund, Christopherus-Haus e.V.";"44267";"Dortmund";"Kreisstr. 55";"0231";"97380";"";"";"05913000";"2";
"72710";"Timmermeister GmbH";"";"";"Münster, Timmermeister GmbH";"48149";"Münster";"Sentruper Str. 161";"0251";"981500";"0251";"9815040";"05515000";"2";
"72771";"Lernhaus Lebenshilfe gGmbH";"";"";"Bielefeld, Lernhaus Lebenshilfe gGmbH";"33647";"Bielefeld";"Am Möllerstift 22";"0521";"4895030";"0521";"4895033";"05711000";"2";
"72783";"Erzbischöfliches Generalvikariat,";"Hauptabteilung Schule und Erziehung";"";"Paderborn, Erzbischöfl.Generalvikariat";"33098";"Paderborn";"Domplatz 3";"05251";"1251412";"";"";"05774032";"2";
"72801";"Waldorf-Schulverein Bielefeld e.V.";"";"";"Bielefeld, Waldorf-Schulverein e.V.";"33611";"Bielefeld";"An der Propstei 23";"0521";"91178190";"0521";"911781950";"05711000";"2";
"72825";"Schulen der Arbeiterwohlfahrt";"für behinderte Menschen gGmbH";"- Geschäftsführung -";"Siegen, Schulen der Arbeiterwohlfahrt";"57072";"Siegen";"Koblenzer Str. 134-138";"";"";"";"";"05970040";"2";
"72837";"Diakonie Stiftung Salem gGmbH";"";"";"Minden, Diakonie Stiftung Salem gGmbH";"32423";"Minden";"Fischerallee 3a";"0571";"888040";"0571";"888041299";"05770024";"2";
"72849";"Lebenshilfe für geistig Behinderte";"Schulen und Wohnstätten gem.GmbH";"";"Brakel, Lebenshilfe f.geistig Behinderte";"33034";"Brakel";"Brunnenallee 69";"05272";"362968102";"05272";"362968919";"05762016";"2";
"72862";"Troxler-Schule Wuppertal e.V.";"";"";"Wuppertal, Troxler-Schule e.V.";"42285";"Wuppertal";"Nommensenweg 12";"0202";"81421";"";"";"05124000";"2";
"72874";"Kirchenkreis Tecklenburg";"";"";"Lengerich, Kirchenkreis Tecklenburg";"48149";"Münster";"Von-Esmarch-Str. 7";"0251";"593700";"";"";"05515000";"2";
"72886";"Caritasverband für die Stadt";"Recklinghausen e.V., Haus der Caritas";"- am Prosper-Hospital -";"Recklinghausen, Caritasverband e.V.";"45659";"Recklinghausen";"Mühlenstr. 27";"02361";"5890120";"02361";"5890121";"05562032";"2";
"72898";"Caritasverband Tecklenburger Land e.V.";"";"";"Ibbenbüren, Cartitasverb. Tecklenb. Land";"49477";"Ibbenbüren";"Klosterstr. 19";"05451";"50020";"05451";"500210";"05566028";"2";
"72916";"Caritasverband";"für Stadt und Dekanat Rheine e.V.";"";"Rheine, Caritasverband";"48429";"Rheine";"Lingener Str. 11";"05971";"8620";"";"";"05566076";"2";
"72930";"Caritas-Verband Arnsberg-Sundern e.V.";"";"";"Arnsberg, Caritasverband";"59821";"Arnsberg";"Hellefelder Str. 27-29";"02931";"806620";"02931";"806678";"05958004";"2";
"72941";"Caritasverband Meschede e.V.";"";"";"Meschede, Caritasverband";"59872";"Meschede";"Steinstr. 12";"0291";"90210";"0291";"9021149";"05958032";"2";
"72965";"Tectum Caritas";"gemeinnützige GmbH";"";"Steinfurt, Tectum Caritas GmbH";"48565";"Steinfurt";"Kirchplatz 8";"02552";"7060";"02552";"706020";"05566084";"2";
"72977";"Caritasverband für die Region";"Mönchengladbach-Rheydt e.V.";"";"Mönchengladbach, Caritasverband";"41061";"Mönchengladbach";"Albertusstr. 36";"02161";"810262";"02161";"810254";"05116000";"2";
"72990";"Caritasverband";"für den Kreis Warendorf e.V.";"";"Warendorf, Caritasverband e.V.";"48231";"Warendorf";"Industriestr. 6";"02581";"945930";"02581";"945959";"05570052";"2";
"73015";"Verein Rudolf-Steiner-Schule";"Witten e.V.";"";"Witten, Verein Rud.-Steiner-Schule e.V.";"58455";"Witten";"Billerbeckstr. 2";"02302";"281830";"";"";"05954036";"2";
"73040";"Caritasverband";"für das Dekanat Bocholt e.V.";"";"Bocholt, Caritasverband";"46399";"Bocholt";"Nordwall 44-46";"02871";"25130";"02871";"25132000";"05554008";"2";
"73064";"Lebenszentrum Königsborn";"für Menschen mit Behinderung";"Gemeinnütziger Verein";"Unna, Lebenszentrum Königsborn";"59425";"Unna";"Zimmerplatz 1";"02303";"9670245";"02303";"9670227";"05978036";"2";
"73090";"Verein Sonnenhellweg-Schule e.V.";"";"";"Bielefeld, Verein Sonnenhellweg-Schule";"33613";"Bielefeld";"Benzstr. 1";"0521";"989130";"0521";"9891313";"05711000";"2";
"73106";"Vestische";"Caritas-Kliniken GmbH";"";"Datteln, Vestische Caritas-Kliniken GmbH";"45711";"Datteln";"Rottstr. 11";"02596";"580";"02596";"5888";"05562008";"2";
"73120";"Verein Freie Waldorfschule";"Düsseldorf e.V.";"";"Düsseldorf, Freie Waldorfschule e.V.";"40625";"Düsseldorf";"Diepenstr. 15";"0211";"232069";"";"";"05111000";"2";
"73131";"Gemeinschaft für Erziehungskunst";"Waldorfschule Wattenscheid e.V.";"";"Bochum, Waldorfsch. Wattenscheid e.V.";"44869";"Bochum";"Höntroper Str. 95";"02327";"97610";"02327";"976130";"05911000";"2";
"73167";"Waldorfschulverein Köln e.V.";"";"";"Köln, Waldorfschulverein e.V.";"50765";"Köln";"Weichselring 6-8";"0221";"97034437";"";"";"05315000";"2";
"73179";"Waldorf Schulverein Gladbeck e.V.";"";"";"Gladbeck, Waldorf Schulverein e.V.";"45968";"Gladbeck";"Horster Str. 82";"02043";"297210";"";"";"05562014";"2";
"73180";"Verein Rudolf-Steiner-Schule Siegen";"Freie Waldorfschule e.V.";"";"Siegen, Verein R.-Steiner-Schule e.V.";"57072";"Siegen";"Kolpingstr. 3";"0271";"488590";"0271";"4885950";"05970040";"2";
"73209";"Dortmunder Berufsfachschule f. Gymnastik";"u. Fachschule f. Gymnastik-Bewegungs-";"therapie gemeinnützige GmbH";"Dortmund,Berufsfachsch.f.Gymnastik gGmbH";"44139";"Dortmund";"Victor-Toyka-Str. 6";"0231";"134279";"";"";"05913000";"2";
"73234";"Verein Freie Waldorfschule in";"Mülheim an der Ruhr e.V.";"";"Mülheim, Freie Waldorfschule e.V.";"45472";"Mülheim an der Ruhr";"Blumendeller Str. 29";"0208";"91103700";"0208";"91103799";"05117000";"2";
"73246";"Kolping Berufsbildungswerk Essen";"Gemeinnützige GmbH";"";"Essen, Kolping Berufsbildungswerk";"45307";"Essen";"Am Zehnthof 100";"0201";"8983251";"0201";"8983333";"05113000";"2";
"73260";"Verein Rudolf-Steiner-Schule";"Hagen e.V.";"";"Hagen, Verein Rudolf-Steiner-Schule e.V.";"58135";"Hagen";"Enneper Str. 30";"02331";"403901";"02331";"407619";"05914000";"2";
"73283";"Verein Freie Waldorfschule Münster e.V.";"";"";"Münster, Verein Freie Waldorfschule e.V.";"48161";"Münster";"Hensenstr. 101";"0251";"314787";"";"";"05515000";"2";
"73301";"Schulverein Freie Waldorfschule e.V.";"";"";"Aachen, Schulverein Freie Waldorfschule";"52064";"Aachen";"Anton-Kurze-Allee 10";"0241";"412550";"0241";"41255111";"05334002";"2";
"73325";"Montessori Borken e.V.";"";"";"Borken, Montessori e.V.";"46325";"Borken";"An der Aa 19-21";"02861";"1342";"02861";"890767";"05554012";"2";
"73337";"Trägerverein";"Matthias-Claudius-Schulen Bochum e.V.";"";"Bochum, Matthias-Claudius Schulen e.V.";"44789";"Bochum";"Hermannshöhe 19";"0234";"94365630";"0234";"94365631";"05911000";"2";
"73349";"Rudolf-Steiner-Schule";"Remscheid e.V.";"";"Remscheid, Rudolf-Steiner e.V.";"42897";"Remscheid";"Schwarzer Weg 9";"02191";"667811";"032";"222326879";"05120000";"2";
"73362";"Freie Schule Bochum e.V.";"";"";"Bochum, Freie Schule Bochum e.V.";"44799";"Bochum";"Wiemelhauser Str. 270";"0234";"72648";"";"";"05911000";"2";
"73374";"Freie Waldorfschule";"Haan- Gruiten e.V.";"";"Haan, Freie Waldorf e.V.";"42781";"Haan";"Prälat-Marschall-Str. 34";"02104";"6466";"";"";"05158008";"2";
"73386";"ATIW GmbH";"";"";"Paderborn, ATIW GmbH";"33100";"Paderborn";"Technologiepark 3";"05251";"5450501";"05251";"5450599";"05774032";"2";
"73398";"Freie Waldorfschule Lippe-Detmold e.V.";"";"";"Detmold,Freie Waldorf Lippe-Detmold e.V.";"32760";"Detmold";"Blomberger Str. 67";"05231";"958010";"05231";"958019";"05766020";"2";
"73404";"Waldorfschulverein Bergisch Gladbach";"e.V.";"";"Bergisch Gladbach, Waldorfschulverein";"51427";"Bergisch Gladbach";"Mohnweg 13";"02204";"999980";"02204";"9999829";"05378004";"2";
"73416";"Freie Waldorfschule e.V.";"";"";"Hamm, Freie Waldorfschule e.V.";"59077";"Hamm";"Kobbenskamp 23";"02381";"40932";"02381";"405823";"05915000";"2";
"73428";"Christlicher Schulverein Lippe e.V.";"";"";"Detmold, Christl.Schulverein Lippe e.V.";"32756";"Detmold";"Georgstr. 24";"05231";"921615";"05231";"921618";"05766020";"2";
"73441";"OWL gemeinnützige Privatschul-";"gesellschaft mbh";"";"Kalletal,OWL gemeinn.Priv.schulgesellsch";"32689";"Kalletal";"Schloß Varenholz";"05755";"96229";"";"";"05766036";"2";
"73465";"Freie Waldorfschule";"Mönchengladbach e.V.";"";"Mönchengladbach,Freie Waldorfschule e.V.";"41065";"Mönchengladbach";"Weiersweg 10";"02161";"821320";"02161";"651701";"05116000";"2";
"73477";"Verein Freie Waldorfschule";"Dinslaken e.V.";"";"Dinslaken, Verein Freie Waldorf";"46535";"Dinslaken";"Eppinkstr. 173";"02064";"6273030";"02064";"6273039";"05170008";"2";
"73519";"Don-Bosco-Schulverein e.V.";"";"";"Ruppichteroth,Don-Bosco-Schulverein e.V.";"87764";"Legau";"Amselweg 4";"08330";"9126419";"08330";"9126418";"05999999";"2";
"73520";"Gemeinnütziger Verein zur Entwicklung";"von Gemeinschaftskrankenhäusern e.V.";"";"Herdecke, Gemeinnütziger Verein";"58313";"Herdecke";"Gerhard-Kienle-Weg 4";"02330";"623623";"02330";"624122";"05954020";"2";
"73556";"Trägerverein der Evangelikalen";"Bekenntnisschulen Bielefeld e.V.";"";"Bielefeld, Trägerverein d.Evang.Bek.Sch.";"33604";"Bielefeld";"Königsbrügge 1";"0521";"30438867";"0521";"30438869";"05711000";"2";
"73568";"Christliche Bekenntnisschulen";"Ennepe-Ruhr e.V.";"co Georg-Müller-Schulen (EN)";"Wetter (Ruhr),Christl.Bekenntnissch.e.V.";"58300";"Wetter (Ruhr)";"Genossenschaftsweg 1a";"02335";"84430";"02335";"844310";"05954032";"2";
"73570";"Christlicher Schulverein Siegen e.V.";"";"";"Wilnsdorf,Christlicher Schulverein e.V.";"57080";"Siegen";"Eiserfelder Str. 446";"0271";"3037190";"0271";"30371929";"05970040";"2";
"73581";"Rheinisch-Bergischer-Verein";"Freie Christliche Schulen e.V.";"";"Düsseldorf, Rheinisch-Bergischer-Verein";"40599";"Düsseldorf";"Buchenstr. 1";"0211";"2397740";"0211";"239774333";"05111000";"2";
"73593";"Waldorfschulverein Voreifel e.V.";"";"";"Erftstadt, Waldorfschulverein Voreifel";"50374";"Erftstadt";"An der Waldorfschule 1";"02235";"46080";"02235";"460819";"05362020";"2";
"73611";"Schulverein Gymnasium Johanneum";"Wadersloh e.V.";"";"Wadersloh, Schulverein Johanneum";"59329";"Wadersloh";"Liesborner Str. 10";"02523";"920920";"02523";"920926";"05570048";"2";
"73623";"Verein St.Anna-Realschule";"Kath. Schule in freier Trägerschaft e.V.";"";"Stadtlohn, Verein St.Anna Realschule";"48703";"Stadtlohn";"Klosterstr. 38";"02563";"1086";"02563";"98335";"05554056";"2";
"73635";"Johannes-Kessels-Akademie e.V.";"";"";"Essen, Joh.-Kessels-Akademie e.V.";"45127";"Essen";"Am Porscheplatz 1";"0201";"81028165";"0201";"81028373";"05113000";"2";
"73659";"Waldorfschulverein Sieg-Kreis";"";"";"Sankt Augustin,Waldorfschulverein Sieg-K";"53757";"Sankt Augustin";"Graf-Zeppelin-Str. 7";"02241";"921160";"";"";"05382056";"2";
"73660";"Freie Waldorfschule Oberberg";"";"";"Gummersbach,Freie Waldorfschule Oberberg";"51645";"Gummersbach";"Kirchhellstr. 32";"02261";"968612";"02261";"968676";"05374012";"2";
"73684";"Georgschule Dortmund e.V.";"Freie Waldorfschule für Erziehungshilfe";"";"Dortmund, Freie Waldorfschule";"44225";"Dortmund";"Mergelteichstr. 63";"0231";"9710648";"0231";"9710651";"05913000";"2";
